Investiga;Id;Moneda;Precio;Unidades vendidas;Venta Diaria Promedio;IdSeller;Nickname;Stock;Exposicion;T. Oficial;Condición;Cuotas;Envío Gratis;Días publicados;Reputación;Ubicación;Envío Flex;Envío Full
Juego De Mesa El Macanudo Maldon 9010m;MLA1100385062;ARS;5399;0;0;539157210;JUGUETES OESTE;3;Clásica; ;Nuevo;12;Si;220;2;GBA;No;No
El Señor Dix - Juego De Mesa - Maldon - Infantil - Niños;MLA751984353;ARS;1225;2;0;341593992;AKATAKA_BG;2;Clásica; ;Nuevo;12;No;1277;4;Interior;No;No
El Benjamín - Juego De Mesa -  Para Niños - 3 En 1;MLA751945660;ARS;2960;2;0;341593992;AKATAKA_BG;4;Clásica; ;Nuevo;12;No;1277;4;Interior;No;No
Valdés - Juego Infantil De Avistaje De Animales - Envío Gtis;MLA1116728052;ARS;2265;0;0;341593992;AKATAKA_BG;5;Clásica; ;Nuevo;12;Si;106;4;Interior;No;No
Valdés - Juego Infantil De Avistaje De Animales - Cuotas S/i;MLA1116747156;ARS;1465;0;0;341593992;AKATAKA_BG;5;Premium; ;Nuevo;6;No;106;4;Interior;No;No
El Tiburón - Juego Infantil Sobre Los Animales Del Océano;MLA1104401921;ARS;2960;0;0;341593992;AKATAKA_BG;3;Clásica; ;Nuevo;12;No;197;4;Interior;No;No
El Tiburón - Juego Infantil Sobre El Océano - Envío Gratis;MLA1104412080;ARS;3550;0;0;341593992;AKATAKA_BG;3;Clásica; ;Nuevo;12;No;197;4;Interior;No;No
Qwixx - Juego De Mesa - Envío Gratis Y Cuotas Sin Interés;MLA825443763;ARS;5300;0;0;341593992;AKATAKA_BG;3;Premium; ;Nuevo;6;Si;874;4;Interior;No;No
Robots - El Juego - Juego De Mesa Familiar - Envío Gtis;MLA1107833000;ARS;4310;0;0;341593992;AKATAKA_BG;4;Clásica; ;Nuevo;12;Si;176;4;Interior;No;No
El Señor Dix - Juego De Mesa - Maldon - Infantil - Niños;MLA751984517;ARS;1465;3;0;341593992;AKATAKA_BG;2;Premium; ;Nuevo;6;No;1277;4;Interior;No;No
Illusion - Juego De Mesa - Envío Gratis Y Cuotas Sin Interés;MLA825441163;ARS;5300;0;0;341593992;AKATAKA_BG;3;Premium; ;Nuevo;6;Si;874;4;Interior;No;No
Pescadores - Divertido Juego De Mesa Familiar - Envío Gtis;MLA1108784532;ARS;4310;0;0;341593992;AKATAKA_BG;5;Clásica; ;Nuevo;12;Si;169;4;Interior;No;No
Panic Lab - Juego De Mesa - ¡encuentra La Ameba! - Env/ctas;MLA1116710540;ARS;5595;0;0;341593992;AKATAKA_BG;5;Premium; ;Nuevo;6;Si;106;4;Interior;No;No
Valdés - Juego Infantil De Avistaje De Animales - Env Y Ctas;MLA1116759780;ARS;2740;0;0;341593992;AKATAKA_BG;5;Premium; ;Nuevo;6;Si;106;4;Interior;No;No
Va Y Viene - Juego De Mesa Familiar Con Dados - Env Y Ctas;MLA1116766842;ARS;5300;0;0;341593992;AKATAKA_BG;3;Premium; ;Nuevo;6;Si;106;4;Interior;No;No
El Camarero - Juego De Mesa - Maldon - Env Gtis Y Ctas S/i !;MLA799979650;ARS;4310;0;0;341593992;AKATAKA_BG;1;Clásica; ;Nuevo;12;Si;998;4;Interior;No;No
Qwixx - Juego De Mesa - Envío Gratis;MLA825443613;ARS;4310;0;0;341593992;AKATAKA_BG;3;Clásica; ;Nuevo;12;Si;874;4;Interior;No;No
El Tiburón - Juego Infantil - Envío Gratis Y Cuotas Sin Int.;MLA1104357353;ARS;4385;0;0;341593992;AKATAKA_BG;3;Premium; ;Nuevo;6;Si;197;4;Interior;No;No
